Title,Price,Time,Min Age,Max Age,Min Players,Max Players,Price Scaled,Time Scaled,Min Age Scaled,Max Age Scaled,Min Players Scaled,Max Players Scaled,average,avg_rating,avgweight,baverage,geek_rating,name,numcomments,numfans,numgeeklists,numhasparts,numowned,numplays,numplays_month,numprevowned,numtrading,numwanting,numwantparts,numweights,numwish,numwishlistcomments,playmonth,rank,stddev,usersrated,views,voters
That's Life,29,0,8,99,2,6,0.1457286432160804,0.0,0.375,1.0,0.16666666666666666,0.060606060606060615,6.51267,6.51,1.3213,6.20046,6.200,That's Life! (2005),751,25.0,708,2,2505,8635,45,263,80,109,2,277,309,42,2017-11,1435,1.2283,2447,125834,2447
Piratissimo,44,0,6,99,2,4,0.22110552763819094,0.0,0.25,1.0,0.16666666666666666,0.040404040404040414,5.8178,5.82,1.2778,5.53206,5.532,Piratissimo (2005),60,2.0,162,0,313,332,1,45,24,13,2,18,42,7,2017-11,9397,1.29267,132,24946,132
Giro Galoppo,44,0,6,99,2,5,0.22110552763819094,0.0,0.25,1.0,0.16666666666666666,0.0505050505050505,6.69698,6.70,1.1972,5.90715,5.907,Giro Galoppo (2006),262,23.0,258,1,677,2342,9,85,22,66,0,71,181,45,2017-11,2434,1.25738,536,51001,536
Viva Topo,44,0,4,99,2,4,0.22110552763819094,0.0,0.125,1.0,0.16666666666666666,0.040404040404040414,6.86122,6.86,1.0938,6.14353,6.144,Viva Topo! (2002),384,21.0,353,1,1545,4673,33,127,36,87,3,96,299,93,2017-11,1576,1.23699,960,103313,960
Metropolys,49,0,8,99,2,4,0.2462311557788945,0.0,0.375,1.0,0.16666666666666666,0.040404040404040414,7.03875,7.04,2.2164,6.71265,6.713,Metropolys (2008),1094,70.0,1236,6,3586,10187,27,660,119,265,3,379,802,152,2017-11,601,1.18603,3655,209954,3655
Mago Magino,44,0,5,99,2,5,0.22110552763819094,0.0,0.1875,1.0,0.16666666666666666,0.0505050505050505,6.23407,6.23,1.1364,5.57901,5.579,Mago Magino (2004),71,1.0,83,0,236,559,0,23,16,9,0,22,35,3,2017-11,6585,1.27443,135,22893,135
El Caballero,34,0,12,99,2,4,0.1708542713567839,0.0,0.625,1.0,0.16666666666666666,0.040404040404040414,6.50755,6.51,3.1958,6.05542,6.055,El Caballero (1998),542,25.0,867,3,2339,1011,0,457,152,103,3,143,306,46,2017-11,1837,1.40467,1286,158589,1286
Medieval Merchant,39,0,12,99,2,6,0.19597989949748745,0.0,0.625,1.0,0.16666666666666666,0.060606060606060615,6.75825,6.76,3.1066,6.14945,6.149,Medieval Merchant (1998),375,11.0,473,2,1458,1196,4,215,87,70,4,122,178,20,2017-11,1560,1.27032,1078,83689,1078
Galaxy Trucker,74,0,10,99,2,4,0.3718592964824121,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,7.46478,7.46,2.3173,7.36088,7.361,Galaxy Trucker (2007),4750,945.0,4966,6,22404,59754,421,2294,392,1273,10,1349,5639,739,2017-11,117,1.43569,22064,1065038,22064
Change Horses,49,0,10,99,2,4,0.2462311557788945,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,5.37826,5.38,1.65,5.46639,5.466,Change Horses (2008),152,7.0,286,5,604,613,0,142,54,15,1,40,42,6,2017-11,13443,1.52958,403,44860,403
